ticker,entry_date,horizon,status,sentiment_score,sentiment_bucket,pnl_pct,sizing_multiplier,adjusted_pnl,is_win
TATATECH.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,3.06,0.85,2.601,True
TORNTPOWER.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,0.81,0.85,0.6885,True
LT.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
ASIANPAINT.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.35,0.85,2.8475,True
GAIL.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
ABCAPITAL.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
BSE.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
DALBHARAT.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
GLAXO.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.01,0.85,2.5585,True
SUMICHEM.NS,2026-06-12,BTST_1d,WON,46,YELLOW_ALERT,3.75,0.85,3.1875,True
SYNGENE.NS,2026-06-11,BTST_1d,EXPIRED_LOSS,65,YELLOW_ALERT,-1.12,0.85,-0.952,False
BEL.NS,2026-06-11,BTST_1d,EXPIRED_WIN,65,YELLOW_ALERT,0.79,0.85,0.6715,True
ICICIPRULI.NS,2026-06-11,BTST_1d,EXPIRED_WIN,65,YELLOW_ALERT,0.73,0.85,0.6205,True
LUPIN.NS,2026-06-11,BTST_1d,EXPIRED_WIN,65,YELLOW_ALERT,0.57,0.85,0.4845,True
TORNTPOWER.NS,2026-06-11,BTST_1d,EXPIRED_WIN,65,YELLOW_ALERT,0.06,0.85,0.051,True
IDFCFIRSTB.NS,2026-06-11,BTST_1d,EXPIRED_WIN,65,YELLOW_ALERT,2.46,0.85,2.091,True
JIOFIN.NS,2026-06-11,Swing_5d,WON,65,YELLOW_ALERT,6.55,0.85,5.5675,True
RECLTD.NS,2026-06-11,Swing_5d,WON,65,YELLOW_ALERT,6.94,0.85,5.899,True
CHOLAFIN.NS,2026-06-11,Swing_5d,WON,65,YELLOW_ALERT,9.74,0.85,8.279,True
HDFCBANK.NS,2026-06-10,BTST_1d,EXPIRED_WIN,49,YELLOW_ALERT,0.13,0.85,0.1105,True
RAMCOCEM.NS,2026-06-10,BTST_1d,EXPIRED_WIN,49,YELLOW_ALERT,0.57,0.85,0.4845,True
AJANTPHARM.NS,2026-06-10,BTST_1d,EXPIRED_WIN,49,YELLOW_ALERT,0.91,0.85,0.7735,True
SBICARD.NS,2026-06-10,BTST_1d,LOST,49,YELLOW_ALERT,-2.14,0.85,-1.819,False
CGPOWER.NS,2026-06-10,BTST_1d,LOST,49,YELLOW_ALERT,-1.5,0.85,-1.275,False
TCS.NS,2026-06-09,BTST_1d,EXPIRED_WIN,43,YELLOW_ALERT,0.65,0.85,0.5525,True
GRASIM.NS,2026-06-09,BTST_1d,EXPIRED_WIN,43,YELLOW_ALERT,0.77,0.85,0.6545,True
SUNDARMFIN.NS,2026-06-09,BTST_1d,EXPIRED_WIN,43,YELLOW_ALERT,2.27,0.85,1.9295,True
WHIRLPOOL.NS,2026-06-09,BTST_1d,EXPIRED_WIN,43,YELLOW_ALERT,1.21,0.85,1.0285,True
PGHH.NS,2026-06-09,BTST_1d,EXPIRED_WIN,43,YELLOW_ALERT,0.27,0.85,0.2295,True
ADANIGREEN.NS,2026-06-09,BTST_1d,LOST,43,YELLOW_ALERT,-1.5,0.85,-1.275,False
BAJFINANCE.NS,2026-06-04,BTST_1d,WON,29,GREEN,3.75,1.0,3.75,True
TATATECH.NS,2026-06-04,BTST_1d,WON,29,GREEN,3.75,1.0,3.75,True
HINDUNILVR.NS,2026-06-03,BTST_1d,EXPIRED_WIN,40,YELLOW_ALERT,1.02,0.85,0.867,True
HINDUNILVR.NS,2026-06-03,Swing_3d,EXPIRED_WIN,40,YELLOW_ALERT,1.56,0.85,1.326,True
NTPC.NS,2026-06-03,BTST_1d,EXPIRED_WIN,40,YELLOW_ALERT,0.3,0.85,0.255,True
PGHH.NS,2026-06-03,BTST_1d,EXPIRED_WIN,40,YELLOW_ALERT,0.8,0.85,0.68,True
BHARATFORG.NS,2026-06-03,BTST_1d,WON,40,YELLOW_ALERT,3.75,0.85,3.1875,True
NMDC.NS,2026-06-02,BTST_1d,EXPIRED_WIN,44,YELLOW_ALERT,0.91,0.85,0.7735,True
TITAN.NS,2026-05-22,BTST_1d,EXPIRED_WIN,53,YELLOW_ALERT,1.72,0.85,1.462,True
SBILIFE.NS,2026-05-22,BTST_1d,EXPIRED_WIN,53,YELLOW_ALERT,0.93,0.85,0.7905,True
ASTRAL.NS,2026-05-22,BTST_1d,EXPIRED_WIN,53,YELLOW_ALERT,0.92,0.85,0.782,True
MARICO.NS,2026-05-22,BTST_1d,LOST,53,YELLOW_ALERT,-1.46,0.85,-1.241,False
ALKEM.NS,2026-05-21,BTST_1d,EXPIRED_LOSS,60,YELLOW_ALERT,-1.05,0.85,-0.8925,False
METROBRAND.NS,2026-05-21,BTST_1d,EXPIRED_LOSS,60,YELLOW_ALERT,-1.2,0.85,-1.02,False
SCHAEFFLER.NS,2026-05-21,BTST_1d,EXPIRED_LOSS,60,YELLOW_ALERT,-1.09,0.85,-0.9265,False
ADANIENT.NS,2026-05-21,BTST_1d,EXPIRED_WIN,60,YELLOW_ALERT,1.23,0.85,1.0455,True
INDIGO.NS,2026-05-21,BTST_1d,EXPIRED_WIN,60,YELLOW_ALERT,0.19,0.85,0.1615,True
DALBHARAT.NS,2026-05-21,BTST_1d,WON,60,YELLOW_ALERT,3.75,0.85,3.1875,True
BAJFINANCE.NS,2026-05-20,BTST_1d,EXPIRED_LOSS,45,YELLOW_ALERT,-0.19,0.85,-0.1615,False
DABUR.NS,2026-05-20,BTST_1d,EXPIRED_LOSS,45,YELLOW_ALERT,-1.12,0.85,-0.952,False
SHREECEM.NS,2026-05-20,BTST_1d,EXPIRED_LOSS,45,YELLOW_ALERT,-0.06,0.85,-0.051,False
EICHERMOT.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.06,0.85,0.051,True
CHOLAFIN.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.01,0.85,0.0085,True
INDIGO.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,2.7,0.85,2.295,True
MAXHEALTH.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,2.28,0.85,1.938,True
PIDILITIND.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.98,0.85,0.833,True
POLYCAB.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.2,0.85,0.17,True
CGPOWER.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,1.08,0.85,0.918,True
DEEPAKNTR.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.06,0.85,0.051,True
GMRAIRPORT.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,0.38,0.85,0.323,True
KIMS.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,1.28,0.85,1.088,True
SHREECEM.NS,2026-05-20,Swing_3d,EXPIRED_WIN,45,YELLOW_ALERT,3.36,0.85,2.856,True
TATACHEM.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,1.27,0.85,1.0795,True
UNIONBANK.NS,2026-05-20,BTST_1d,EXPIRED_WIN,45,YELLOW_ALERT,1.56,0.85,1.326,True
LT.NS,2026-05-20,Swing_3d,LOST,45,YELLOW_ALERT,-0.87,0.85,-0.7395,False
BAJFINANCE.NS,2026-05-20,Swing_3d,LOST,45,YELLOW_ALERT,-2.1,0.85,-1.785,False
CHOLAFIN.NS,2026-05-20,Swing_3d,LOST,45,YELLOW_ALERT,-0.76,0.85,-0.646,False
GODREJCP.NS,2026-05-20,Swing_5d,LOST,45,YELLOW_ALERT,-0.94,0.85,-0.799,False
JINDALSTEL.NS,2026-05-20,Swing_3d,LOST,45,YELLOW_ALERT,-1.74,0.85,-1.479,False
CROMPTON.NS,2026-05-20,Swing_5d,LOST,45,YELLOW_ALERT,-0.23,0.85,-0.1955,False
EICHERMOT.NS,2026-05-20,Swing_3d,WON,45,YELLOW_ALERT,5.4,0.85,4.59,True
TATACHEM.NS,2026-05-20,Swing_3d,WON,45,YELLOW_ALERT,6.3,0.85,5.355,True
TATACHEM.NS,2026-05-20,Swing_5d,WON,45,YELLOW_ALERT,9.78,0.85,8.313,True
UNIONBANK.NS,2026-05-20,Swing_3d,WON,45,YELLOW_ALERT,4.94,0.85,4.199,True
ICICIBANK.NS,2026-05-14,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.38,0.85,-0.323,False
HEROMOTOCO.NS,2026-05-14,Swing_3d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.32,0.85,-1.122,False
PNB.NS,2026-05-14,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.77,0.85,-0.6545,False
HDFCLIFE.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.65,0.85,0.5525,True
BAJAJHLDNG.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.41,0.85,0.3485,True
COLPAL.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.48,0.85,0.408,True
CUMMINSIND.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.67,0.85,0.5695,True
HONAUT.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,2.09,0.85,1.7765,True
LALPATHLAB.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,2.12,0.85,1.802,True
NAM-INDIA.NS,2026-05-14,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.96,0.85,0.816,True
HEROMOTOCO.NS,2026-05-14,Swing_5d,LOST,56,YELLOW_ALERT,-1.8,0.85,-1.53,False
ABB.NS,2026-05-14,Swing_3d,LOST,56,YELLOW_ALERT,-1.26,0.85,-1.071,False
COLPAL.NS,2026-05-14,Swing_5d,LOST,56,YELLOW_ALERT,-1.16,0.85,-0.986,False
APLLTD.NS,2026-05-14,BTST_1d,LOST,56,YELLOW_ALERT,-1.5,0.85,-1.275,False
PRESTIGE.NS,2026-05-14,BTST_1d,LOST,56,YELLOW_ALERT,-1.5,0.85,-1.275,False
AJANTPHARM.NS,2026-05-14,BTST_1d,LOST,56,YELLOW_ALERT,-1.5,0.85,-1.275,False
NAM-INDIA.NS,2026-05-14,Swing_5d,LOST,56,YELLOW_ALERT,-1.08,0.85,-0.918,False
UNITDSPR.NS,2026-05-14,BTST_1d,WON,56,YELLOW_ALERT,3.75,0.85,3.1875,True
BAJFINANCE.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-1.67,0.7,-1.169,False
